2024-06-22 02:36:13.505,8.225,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
2024-06-22 02:36:13.605,8.325,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
2024-06-22 02:36:13.705,8.425,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
2024-06-22 02:36:13.805,8.525,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
2024-06-22 02:36:13.905,8.625,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
2024-06-22 02:36:14.005,8.725,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
2024-06-22 02:36:14.105,8.825,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
2024-06-22 02:36:14.205,8.925,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
2024-06-22 02:36:14.305,9.025,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
2024-06-22 02:36:14.405,9.125,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
2024-06-22 02:36:14.505,9.225,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
2024-06-22 02:36:14.605,9.325,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
2024-06-22 02:36:14.705,9.425,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
2024-06-22 02:36:14.805,9.525,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
