Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,CYCLE 1 ~ AN 2BAR 80C, CA 28.5BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-21 05:59:23,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-21 05:59:23.105,0.000,,1.338150,0.000000,0.000190,1.755835,1.349866,0.035117
2024-06-21 05:59:23.205,0.100,,1.338150,0.000000,-0.000190,1.755549,1.349867,0.035111
2024-06-21 05:59:23.305,0.200,,1.338150,0.000191,0.000190,1.755549,1.349867,0.035111
2024-06-21 05:59:23.405,0.300,,1.338150,0.000000,0.000000,1.755549,1.349867,0.035111
2024-06-21 05:59:23.505,0.400,,1.333410,0.000000,-0.000190,1.727594,1.349730,0.034552
2024-06-21 05:59:23.606,0.501,,1.328660,0.000000,0.000190,0.656988,1.344710,0.034552
2024-06-21 05:59:23.705,0.600,,1.322970,0.000000,0.000190,0.280536,1.339818,0.005611
2024-06-21 05:59:23.805,0.700,,1.318230,-0.000381,0.000000,0.095599,1.334764,0.001912
2024-06-21 05:59:23.905,0.800,,1.313490,0.000000,-0.000190,-0.018961,1.329826,0.001912
2024-06-21 05:59:24.005,0.900,,1.308750,-0.000191,0.000000,-0.097883,1.324784,-0.001958
2024-06-21 05:59:24.105,1.000,,1.303060,0.000000,0.000000,-0.158011,1.319845,-0.003160
2024-06-21 05:59:24.205,1.100,,1.298320,-0.000191,-0.000381,-0.206818,1.314823,-0.004136
2024-06-21 05:59:24.305,1.200,,1.293580,0.000000,0.000000,-0.244977,1.309860,-0.004900
2024-06-21 05:59:24.405,1.300,,1.287880,-0.000191,0.000190,-0.279674,1.304871,-0.004900
2024-06-21 05:59:24.505,1.400,,1.283140,-0.000191,0.000000,-0.307701,1.299901,-0.006154
2024-06-21 05:59:24.605,1.500,,1.278400,-0.000191,-0.000190,-0.332473,1.294864,-0.006649
2024-06-21 05:59:24.705,1.600,,1.277450,0.000000,0.000381,-0.353896,1.289880,-0.006649
