2024-06-20 06:24:48.005,1704.877,,1.488940,26.957770,0.539155,80.000000,80.013710,77.617233,0.000000,25.825882,42.956165,0.000000,0.082636,-0.019380,0.000000,0.022559,0.000285,0.500000,0.499527,0.000000,0.000000,0.712501,1.048751,-0.400000,10.000000,1.501049,-0.004043,-0.000077,1.000000
2024-06-20 06:24:49.005,1705.877,,1.489890,26.957770,0.539155,80.000000,79.964027,77.569817,0.000000,25.815071,42.952644,0.000000,0.082636,-0.010953,0.000000,0.022559,0.000285,0.500000,0.499527,0.000000,0.000000,0.722247,1.048751,-0.400000,10.000000,1.501029,-0.003885,-0.000078,1.000000
2024-06-20 06:24:50.005,1706.877,,1.488940,26.957770,0.539155,80.000000,80.006050,77.592911,0.000000,25.825882,42.904255,0.000000,0.082636,-0.010953,0.000000,0.022559,0.025524,0.500000,0.499527,0.000000,0.000000,0.722247,1.053625,-0.400000,10.000000,1.500887,-0.003769,-0.000077,1.000000
2024-06-20 06:24:51.005,1707.877,,1.489890,27.011150,0.540223,80.000000,80.013710,77.592911,0.000000,25.825882,42.956165,0.000000,0.082636,0.014328,0.000000,0.022559,0.025524,0.500000,0.490127,0.000000,0.000000,0.712501,1.048751,-0.400000,10.000000,1.500979,-0.003896,-0.000078,1.000000
2024-06-20 06:24:52.005,1708.877,,1.488940,26.957770,0.540223,80.000000,80.011284,77.581978,0.000000,25.815071,42.978600,0.000000,0.082636,-0.002526,0.000000,0.022559,0.017111,0.500000,0.499527,0.000000,0.000000,0.712501,1.048751,-0.400000,10.000000,1.500951,-0.004043,-0.000081,1.000000
2024-06-20 06:24:53.005,1709.877,,1.488940,27.011150,0.540223,80.000000,80.030174,77.605072,0.000000,25.825882,42.969143,0.000000,0.082636,-0.010953,0.000000,0.022559,0.025524,0.500000,0.499527,0.000000,0.000000,0.717374,1.048751,-0.400000,10.000000,1.500889,-0.004012,-0.000080,1.000000
2024-06-20 06:24:54.005,1710.877,,1.488940,26.995140,0.539903,80.000000,80.027748,77.618454,0.000000,25.815071,42.991577,0.000000,0.099480,-0.010953,0.000000,0.005703,0.025524,0.500000,0.499527,0.000000,0.000000,0.717374,1.048751,-0.400000,10.000000,1.500867,-0.003885,-0.000078,1.000000
2024-06-20 06:24:55.005,1711.877,,1.488940,27.011150,0.540223,80.000000,80.000648,77.581978,0.000000,25.815071,43.004555,0.000000,0.074213,-0.019380,0.000000,0.022559,0.025524,0.500000,0.499527,0.000000,0.000000,0.722247,1.048751,-0.400000,10.000000,1.500921,-0.003769,-0.000075,1.000000
2024-06-20 06:24:56.005,1712.877,,1.488940,26.968440,0.540223,80.000000,80.011284,77.594139,0.000000,25.815071,43.095394,0.000000,0.074213,-0.010953,0.000000,0.022559,0.025524,0.500000,0.499527,0.000000,0.000000,0.717374,1.048751,-0.400000,10.000000,1.500968,-0.003927,-0.000079,1.000000
2024-06-20 06:24:57.005,1713.877,,1.488940,27.011150,0.540223,80.000000,80.016769,77.581978,0.000000,25.815071,43.121349,0.000000,0.082636,0.014328,0.000000,0.022559,0.025524,0.500000,0.499527,0.000000,0.000000,0.712501,1.048751,-0.400000,10.000000,1.501003,-0.003980,-0.000080,1.000000
2024-06-20 06:24:58.005,1714.877,,1.488940,26.957770,0.539155,80.000000,80.019196,77.592911,0.000000,25.825882,43.111893,0.000000,0.082636,-0.010953,0.000000,0.022559,0.000285,0.500000,0.499527,0.000000,0.000000,0.722247,1.029259,-0.400000,10.000000,1.500833,-0.003917,-0.000079,1.000000
2024-06-20 06:24:59.005,1715.877,,1.488940,26.957770,0.540223,80.000000,80.019196,77.641556,0.000000,25.825882,43.072964,0.000000,0.082636,-0.019380,0.000000,0.022559,0.000285,0.500000,0.499527,0.000000,0.000000,0.702755,1.029259,-0.400000,10.000000,1.500967,-0.003948,-0.000079,1.000000
2024-06-20 06:25:00.005,1716.877,,1.488940,27.011150,0.540223,80.000000,79.993835,77.617233,0.000000,25.825882,43.124870,0.000000,0.082636,-0.019380,0.000000,0.022559,0.025524,0.500000,0.490127,0.000000,0.000000,0.717374,1.034132,-0.400000,10.000000,1.500947,-0.003927,-0.000077,1.000000
2024-06-20 06:25:01.005,1717.877,,1.488940,27.011150,0.540223,80.000000,79.964027,77.594139,0.000000,25.815071,43.095394,0.000000,0.099480,-0.010953,0.000000,0.022559,-0.008129,0.500000,0.499527,0.000000,0.000000,0.722247,1.048751,-0.400000,10.000000,1.500937,-0.003970,-0.000077,1.000000
