Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,CYCLE 3 ~ AN 6BAR 80C, CA 28.5BAR CV,,,,,,,
2024-06-22 05:50:35.105,1.808,,1.252800,0.000000,0.000190,0.666522,1.264790,0.013451
2024-06-22 05:50:35.205,1.908,,1.248050,0.000000,0.000381,0.661360,1.259837,0.013330
2024-06-22 05:50:35.305,2.008,,1.243310,-0.000191,0.000190,0.655520,1.254760,0.013110
2024-06-22 05:50:35.405,2.108,,1.238570,0.000000,0.000381,0.651215,1.249791,0.013110
2024-06-22 05:50:35.505,2.208,,1.232880,-0.000191,0.000000,0.646039,1.244777,0.013024
2024-06-22 05:50:35.605,2.308,,1.228140,-0.000381,0.000381,0.641493,1.239843,0.012830
2024-06-22 05:50:35.705,2.408,,1.223400,0.000000,0.000000,0.637601,1.234784,0.012830
2024-06-22 05:50:35.805,2.508,,1.217710,-0.000191,0.000190,0.632832,1.229822,0.012752
2024-06-22 05:50:35.905,2.608,,1.213910,0.000000,0.000190,0.629435,1.224789,0.012589
2024-06-22 05:50:36.005,2.708,,1.203480,-0.000191,0.000190,0.626228,1.219856,0.012589
2024-06-22 05:50:36.105,2.808,,1.198740,-0.000191,0.000190,0.622633,1.214813,0.012525
2024-06-22 05:50:36.205,2.908,,1.194000,-0.000191,0.000381,0.619778,1.209803,0.012396
2024-06-22 05:50:36.305,3.008,,1.188310,0.004578,0.000381,0.616687,1.204768,0.012396
2024-06-22 05:50:36.405,3.108,,1.182620,-0.000763,-0.000571,0.614534,1.199868,0.012334
2024-06-22 05:50:36.505,3.208,,1.177870,-0.000191,0.000381,0.612530,1.194778,0.012251
2024-06-22 05:50:36.605,3.308,,1.173130,-0.000381,0.000000,0.612530,1.194778,0.012251
2024-06-22 05:50:36.705,3.408,,1.168390,-0.000191,0.000571,0.609041,1.184822,0.012205
2024-06-22 05:50:36.805,3.508,,1.162700,-0.000191,0.000381,0.607336,1.179869,0.012181
2024-06-22 05:50:36.905,3.608,,1.158910,-0.000191,0.000381,0.605614,1.174765,0.012112
2024-06-22 05:50:37.005,3.708,,1.153220,-0.000191,0.000190,0.605299,1.169745,0.012112
2024-06-22 05:50:37.105,3.808,,1.148470,-0.000191,0.000381,0.604086,1.164775,0.012082
2024-06-22 05:50:37.205,3.908,,1.143730,-0.000191,0.000190,0.604321,1.159816,0.012082
2024-06-22 05:50:37.305,4.008,,1.138040,-0.000191,0.000381,0.603824,1.154744,0.012086
2024-06-22 05:50:37.405,4.108,,1.133300,0.000000,0.000190,0.603929,1.149827,0.012079
2024-06-22 05:50:37.506,4.209,,1.128560,0.000000,0.000381,0.604532,1.144792,0.012079
2024-06-22 05:50:37.605,4.308,,1.122870,-0.000191,0.000381,0.604941,1.139818,0.012099
2024-06-22 05:50:37.705,4.408,,1.118130,0.000000,0.000000,0.606847,1.134799,0.012137
2024-06-22 05:50:37.805,4.508,,1.113380,0.000000,0.000381,0.607260,1.129784,0.012137
2024-06-22 05:50:37.905,4.608,,1.113380,-0.000191,0.000190,0.607710,1.124824,0.012154
2024-06-22 05:50:38.005,4.708,,1.108640,-0.000381,0.000381,0.610000,1.119874,0.012200
2024-06-22 05:50:38.105,4.808,,1.102950,-0.000191,0.000571,0.610614,1.114751,0.012200
2024-06-22 05:50:38.205,4.908,,1.098210,-0.000191,0.000000,0.612711,1.109867,0.012254
2024-06-22 05:50:38.305,5.008,,1.093470,-0.000191,0.000190,0.611105,1.104803,0.012254
2024-06-22 05:50:38.405,5.108,,1.088730,-0.000191,0.000571,0.615253,1.099885,0.012305
2024-06-22 05:50:38.505,5.208,,1.083040,-0.000381,0.000190,0.617239,1.094828,0.012305
2024-06-22 05:50:38.605,5.308,,1.078300,-0.000381,0.000000,0.619019,1.089784,0.012345
2024-06-22 05:50:38.705,5.408,,1.073550,-0.000191,0.000190,0.620515,1.084835,0.012410
2024-06-22 05:50:38.805,5.508,,1.067860,-0.000381,0.000381,0.622128,1.079865,0.012410
2024-06-22 05:50:38.905,5.608,,1.058380,0.000000,0.000381,0.622995,1.074752,0.012460
2024-06-22 05:50:39.005,5.708,,1.058380,0.000000,0.000381,0.624998,1.069822,0.012500
2024-06-22 05:50:39.105,5.808,,1.048900,0.000000,0.000190,0.625845,1.064761,0.012500
2024-06-22 05:50:39.205,5.908,,1.048900,-0.000191,-0.000190,0.626718,1.059827,0.012534
2024-06-22 05:50:39.305,6.008,,1.043210,-0.000191,0.000190,0.627414,1.054783,0.012548
2024-06-22 05:50:39.405,6.108,,1.038460,0.000000,0.000190,0.627796,1.049791,0.012548
2024-06-22 05:50:39.505,6.208,,1.028980,-0.000191,0.000000,0.628335,1.044808,0.012567
2024-06-22 05:50:39.605,6.308,,1.023290,-0.000191,0.000381,0.627855,1.039859,0.012557
2024-06-22 05:50:39.705,6.408,,1.018550,0.000000,0.000381,0.626929,1.034807,0.012539
2024-06-22 05:50:39.805,6.508,,1.013810,-0.000191,0.000571,0.626936,1.029833,0.012539
2024-06-22 05:50:39.905,6.608,,1.008120,-0.000191,0.000190,0.625574,1.024774,0.012511
2024-06-22 05:50:40.005,6.708,,1.003370,-0.000191,0.000381,0.624417,1.019871,0.012488
2024-06-22 05:50:40.105,6.808,,0.998630,-0.000191,0.000190,0.623057,1.014778,0.012488
2024-06-22 05:50:40.205,6.908,,0.992940,0.000000,0.000190,0.621246,1.009831,0.012425
2024-06-22 05:50:40.305,7.008,,0.988200,-0.000191,0.000381,0.619345,1.004807,0.012387
2024-06-22 05:50:40.405,7.108,,0.983460,0.000000,0.000000,0.617360,0.999835,0.012387
2024-06-22 05:50:40.505,7.208,,0.978720,-0.000191,0.000381,0.614650,0.994802,0.012293
2024-06-22 05:50:40.605,7.308,,0.973970,-0.000191,0.000190,0.612355,0.989856,0.012247
2024-06-22 05:50:40.705,7.408,,0.968280,0.000000,0.000381,0.609416,0.984841,0.012188
2024-06-22 05:50:40.805,7.508,,0.963540,-0.000191,0.000381,0.607372,0.979868,0.012147
2024-06-22 05:50:40.905,7.608,,0.957850,0.000000,0.000190,0.603811,0.974824,0.012076
2024-06-22 05:50:41.005,7.708,,0.953110,0.000000,0.000571,0.601397,0.969769,0.012028
2024-06-22 05:50:41.105,7.808,,0.953110,0.000000,0.000190,0.598860,0.964765,0.011977
2024-06-22 05:50:41.205,7.908,,0.948370,-0.000191,0.000000,0.595539,0.959832,0.011911
2024-06-22 05:50:41.305,8.008,,0.943630,0.000000,0.000381,0.592093,0.954781,0.011842
2024-06-22 05:50:41.405,8.108,,0.937940,-0.000191,0.000381,0.589388,0.949818,0.011788
2024-06-22 05:50:41.505,8.208,,0.934140,0.000000,0.000381,0.586509,0.944811,0.011730
2024-06-22 05:50:41.606,8.309,,0.928450,-0.000191,0.000381,0.584489,0.939875,0.011690
2024-06-22 05:50:41.705,8.408,,0.923710,-0.000191,0.000190,0.581109,0.934740,0.011622
2024-06-22 05:50:41.805,8.508,,0.918970,0.000000,0.000381,0.579538,0.929814,0.011622
2024-06-22 05:50:41.905,8.608,,0.914230,0.000000,0.000381,0.576413,0.924793,0.011528
2024-06-22 05:50:42.005,8.708,,0.908540,0.000000,0.000190,0.573633,0.919884,0.011473
2024-06-22 05:50:42.105,8.808,,0.903800,0.000191,0.000381,0.571552,0.914817,0.011473
2024-06-22 05:50:42.205,8.908,,0.898110,0.000000,0.000000,0.569451,0.909866,0.011389
2024-06-22 05:50:42.305,9.008,,0.893360,0.000000,0.000381,0.568288,0.904863,0.011366
2024-06-22 05:50:42.405,9.108,,0.888620,0.000000,0.000381,0.568024,0.899891,0.011366
2024-06-22 05:50:42.505,9.208,,0.883880,0.000000,0.000190,0.566330,0.894917,0.011327
2024-06-22 05:50:42.605,9.308,,0.874400,0.000000,0.000190,0.565674,0.889857,0.011313
2024-06-22 05:50:42.705,9.408,,0.868710,0.000191,0.000381,0.564860,0.884835,0.011297
2024-06-22 05:50:42.805,9.508,,0.863960,-0.000191,0.000190,0.565095,0.879897,0.011302
2024-06-22 05:50:42.905,9.608,,0.859220,0.000191,0.000381,0.564311,0.874876,0.011286
2024-06-22 05:50:43.005,9.708,,0.853530,0.000000,0.000190,0.564142,0.869851,0.011283
2024-06-22 05:50:43.105,9.808,,0.848790,0.000191,0.000190,0.564094,0.864826,0.011282
2024-06-22 05:50:43.205,9.908,,0.844050,-0.000191,0.000381,0.563024,0.859882,0.011260
2024-06-22 05:50:43.305,10.008,,0.838360,0.000000,0.000190,0.561922,0.854849,0.011238
2024-06-22 05:50:43.405,10.108,,0.833620,0.000000,0.000381,0.560526,0.849836,0.011211
2024-06-22 05:50:43.505,10.208,,0.828870,0.000191,0.000190,0.558628,0.844858,0.011173
2024-06-22 05:50:43.605,10.308,,0.824130,0.000191,0.000000,0.557852,0.839901,0.011157
2024-06-22 05:50:43.705,10.408,,0.818440,0.000000,0.000381,0.555667,0.834822,0.011113
2024-06-22 05:50:43.805,10.508,,0.813700,0.000381,0.000190,0.554398,0.829877,0.011088
2024-06-22 05:50:43.905,10.608,,0.808960,0.000000,0.000381,0.553771,0.824856,0.011075
2024-06-22 05:50:44.005,10.708,,0.803270,0.000191,0.000190,0.552243,0.819869,0.011045
2024-06-22 05:50:44.105,10.808,,0.798530,0.000191,0.000571,0.551902,0.814841,0.011038
2024-06-22 05:50:44.205,10.908,,0.793780,0.000000,0.000381,0.550811,0.809794,0.011016
2024-06-22 05:50:44.305,11.008,,0.792840,0.000191,0.000190,0.549843,0.804845,0.010997
2024-06-22 05:50:44.405,11.108,,0.788090,0.000381,0.000571,0.548925,0.799867,0.010978
2024-06-22 05:50:44.505,11.208,,0.784300,0.000381,0.000381,0.546876,0.794781,0.010938
2024-06-22 05:50:44.605,11.308,,0.778610,0.000000,0.000381,0.547096,0.789867,0.010942
2024-06-22 05:50:44.705,11.408,,0.773870,0.000191,0.000571,0.546587,0.784850,0.010932
2024-06-22 05:50:44.805,11.508,,0.769130,0.000191,0.000381,0.545523,0.779883,0.010910
2024-06-22 05:50:44.905,11.608,,0.763440,0.000381,0.000381,0.545052,0.774864,0.010901
2024-06-22 05:50:45.005,11.708,,0.758700,0.000000,0.000190,0.544643,0.769842,0.010893
2024-06-22 05:50:45.105,11.808,,0.753950,0.000191,0.000381,0.543878,0.764793,0.010878
2024-06-22 05:50:45.205,11.908,,0.749210,0.000000,0.000190,0.544295,0.759864,0.010886
2024-06-22 05:50:45.305,12.008,,0.744470,0.000191,0.000000,0.543166,0.754822,0.010863
2024-06-22 05:50:45.406,12.109,,0.738780,0.000381,0.000381,0.543265,0.749847,0.010865
2024-06-22 05:50:45.505,12.208,,0.729300,0.000000,0.000571,0.542768,0.744801,0.010855
2024-06-22 05:50:45.605,12.308,,0.723610,0.000191,0.000381,0.542039,0.739880,0.010841
2024-06-22 05:50:45.705,12.408,,0.718860,0.000191,0.000381,0.542762,0.734819,0.010855
2024-06-22 05:50:45.805,12.508,,0.714120,0.000191,0.000571,0.542049,0.729835,0.010855
2024-06-22 05:50:45.906,12.609,,0.708430,0.000191,0.000000,0.542446,0.724829,0.010841
2024-06-22 05:50:46.005,12.708,,0.708430,0.000000,0.000381,0.542080,0.719862,0.010849
2024-06-22 05:50:46.105,12.808,,0.698950,0.000000,0.000190,0.541337,0.714853,0.010842
2024-06-22 05:50:46.205,12.908,,0.694210,0.000000,0.000190,0.542171,0.709870,0.010827
2024-06-22 05:50:46.305,13.008,,0.688520,0.000191,0.000000,0.542171,0.709870,0.010843
2024-06-22 05:50:46.405,13.108,,0.683770,0.000191,0.000000,0.541489,0.699889,0.010843
2024-06-22 05:50:46.505,13.208,,0.679030,0.000381,0.000190,0.538284,0.694849,0.010830
2024-06-22 05:50:46.605,13.308,,0.673340,0.000191,0.000571,0.539692,0.689850,0.010766
2024-06-22 05:50:46.705,13.408,,0.668600,0.000000,0.000381,0.539940,0.684838,0.010794
2024-06-22 05:50:46.805,13.508,,0.663860,0.000191,0.000190,0.539704,0.679886,0.010799
2024-06-22 05:50:46.905,13.608,,0.659120,0.000191,0.000381,0.538692,0.674866,0.010794
2024-06-22 05:50:47.005,13.708,,0.653430,0.000191,0.000381,0.538422,0.669874,0.010774
2024-06-22 05:50:47.105,13.808,,0.649630,0.000000,0.000381,0.536852,0.664823,0.010768
2024-06-22 05:50:47.205,13.908,,0.643940,0.000191,0.000000,0.535367,0.659872,0.010737
2024-06-22 05:50:47.305,14.008,,0.639200,0.000191,0.000381,0.532789,0.654780,0.010707
2024-06-22 05:50:47.405,14.108,,0.633510,0.000191,0.000571,0.530229,0.649832,0.010656
2024-06-22 05:50:47.505,14.208,,0.629720,0.000381,0.000190,0.526801,0.644815,0.010605
2024-06-22 05:50:47.605,14.308,,0.628770,0.000191,0.000571,0.522881,0.639883,0.010536
2024-06-22 05:50:47.705,14.408,,0.624030,0.000000,0.000190,0.518017,0.634824,0.010458
2024-06-22 05:50:47.805,14.508,,0.618340,0.000191,0.000381,0.513086,0.629848,0.010360
2024-06-22 05:50:47.905,14.608,,0.613590,0.000381,0.000381,0.506342,0.624851,0.010262
2024-06-22 05:50:48.005,14.708,,0.608850,0.000191,0.000000,0.499624,0.619876,0.010127
2024-06-22 05:50:48.105,14.808,,0.604110,0.000191,0.000381,0.490809,0.614808,0.009992
2024-06-22 05:50:48.205,14.908,,0.598420,0.000191,0.000381,0.481798,0.609828,0.009816
2024-06-22 05:50:48.305,15.008,,0.593680,0.000381,0.000381,0.470749,0.604796,0.009636
2024-06-22 05:50:48.405,15.108,,0.588940,0.000000,0.000190,0.459160,0.599878,0.009415
2024-06-22 05:50:48.505,15.208,,0.584200,0.000191,0.000190,0.445596,0.594842,0.009183
2024-06-22 05:50:48.605,15.308,,0.579450,0.000381,0.000381,0.430973,0.589848,0.008912
2024-06-22 05:50:48.705,15.408,,0.573760,0.000191,0.000381,0.414527,0.584879,0.008619
2024-06-22 05:50:48.805,15.508,,0.569020,0.000191,0.000190,0.397297,0.579896,0.008291
2024-06-22 05:50:48.905,15.608,,0.564280,0.000381,0.000190,0.377477,0.574890,0.007946
2024-06-22 05:50:49.005,15.708,,0.559540,0.000381,0.000381,0.356420,0.569872,0.007550
2024-06-22 05:50:49.105,15.808,,0.553850,0.000381,0.000190,0.332889,0.564842,0.007128
2024-06-22 05:50:49.205,15.908,,0.543420,0.000191,0.000381,0.308038,0.559873,0.006658
2024-06-22 05:50:49.305,16.008,,0.539620,0.000191,0.000381,0.281559,0.554789,0.006161
2024-06-22 05:50:49.405,16.108,,0.533930,0.000191,0.000381,0.252376,0.549869,0.005631
2024-06-22 05:50:49.505,16.208,,0.529190,0.000191,0.000190,0.221108,0.544831,0.005048
2024-06-22 05:50:49.605,16.308,,0.523500,0.000191,0.000381,0.188286,0.539876,0.004422
2024-06-22 05:50:49.705,16.408,,0.518760,0.000381,0.000571,0.152232,0.534877,0.003766
2024-06-22 05:50:49.805,16.508,,0.514020,0.000000,0.000381,0.115160,0.529830,0.003045
2024-06-22 05:50:49.905,16.608,,0.508330,0.000191,0.000190,0.074911,0.524867,0.002303
2024-06-22 05:50:50.005,16.708,,0.503580,0.000191,0.000381,0.033032,0.519885,0.001498
2024-06-22 05:50:50.105,16.808,,0.498840,0.000191,0.000381,-0.011553,0.514847,0.000661
2024-06-22 05:50:50.205,16.908,,0.494100,0.000191,0.000190,-0.058100,0.509891,-0.000231
2024-06-22 05:50:50.305,17.008,,0.489360,0.000381,0.000190,-0.106946,0.504930,-0.001162
2024-06-22 05:50:50.405,17.108,,0.484620,0.000191,0.000381,-0.158278,0.499891,-0.002139
2024-06-22 05:50:50.505,17.208,,0.478930,0.000000,0.000190,-0.211107,0.494950,-0.003166
2024-06-22 05:50:50.605,17.308,,0.474180,0.000191,0.000381,-0.267535,0.489911,-0.004222
2024-06-22 05:50:50.705,17.408,,0.469440,0.000381,0.000381,-0.325267,0.484930,-0.005351
2024-06-22 05:50:50.805,17.508,,0.468490,0.000191,0.000381,-0.384677,0.479937,-0.006505
2024-06-22 05:50:50.905,17.608,,0.463750,0.000191,0.000381,-0.446613,0.474988,-0.007694
2024-06-22 05:50:51.005,17.708,,0.459010,0.000191,0.000381,-0.509994,0.469947,-0.008932
2024-06-22 05:50:51.106,17.809,,0.454270,0.000191,0.000190,-0.574858,0.464985,-0.010200
2024-06-22 05:50:51.205,17.908,,0.449530,0.000381,0.000381,-0.641089,0.459928,-0.011497
2024-06-22 05:50:51.305,18.008,,0.443840,0.000381,0.000190,-0.707959,0.454984,-0.012822
2024-06-22 05:50:51.405,18.108,,0.439090,0.000381,0.000381,-0.775555,0.449883,-0.014159
2024-06-22 05:50:51.505,18.208,,0.434350,0.000381,0.000000,-0.843906,0.444936,-0.015511
2024-06-22 05:50:51.605,18.308,,0.428660,0.000191,0.000000,-0.912515,0.439931,-0.016878
2024-06-22 05:50:51.705,18.408,,0.423920,0.000191,0.000381,-0.980128,0.435006,-0.018250
2024-06-22 05:50:51.805,18.508,,0.419180,0.000000,0.000381,-1.046319,0.429927,-0.019603
2024-06-22 05:50:51.905,18.608,,0.414440,0.000191,0.000190,-1.111956,0.424994,-0.020926
2024-06-22 05:50:52.005,18.708,,0.409700,0.000191,0.000190,-1.175709,0.419963,-0.022239
2024-06-22 05:50:52.105,18.808,,0.399260,0.000381,0.000381,-1.237127,0.415009,-0.023514
2024-06-22 05:50:52.205,18.908,,0.394520,0.000000,0.000190,-1.296248,0.409924,-0.024743
2024-06-22 05:50:52.305,19.008,,0.388830,0.000191,0.000381,-1.351514,0.404944,-0.025925
2024-06-22 05:50:52.405,19.108,,0.384090,0.000191,-0.000190,-1.403904,0.399925,-0.027030
2024-06-22 05:50:52.505,19.208,,0.379350,0.000000,0.000190,-1.452693,0.394999,-0.028078
2024-06-22 05:50:52.605,19.308,,0.373660,0.000000,0.000381,-1.496713,0.389943,-0.029054
2024-06-22 05:50:52.705,19.408,,0.368920,0.000191,0.000381,-1.536295,0.384977,-0.029934
2024-06-22 05:50:52.805,19.508,,0.364170,0.000000,0.000190,-1.570646,0.379990,-0.030726
2024-06-22 05:50:52.905,19.608,,0.359430,0.000191,0.000381,-1.600980,0.375058,-0.031413
2024-06-22 05:50:53.005,19.708,,0.354690,0.000191,0.000381,-1.626755,0.370003,-0.032020
2024-06-22 05:50:53.105,19.808,,0.349000,-0.000191,0.000190,-1.647440,0.364995,-0.032535
2024-06-22 05:50:53.206,19.909,,0.344260,0.000000,0.000190,-1.663512,0.359954,-0.032949
2024-06-22 05:50:53.305,20.008,,0.339520,0.000191,0.000190,-1.675344,0.354994,-0.033270
2024-06-22 05:50:53.405,20.108,,0.334770,0.000000,0.000190,-1.682108,0.349905,-0.033507
2024-06-22 05:50:53.505,20.208,,0.329080,0.000000,0.000190,-1.685716,0.344990,-0.033642
2024-06-22 05:50:53.605,20.308,,0.325290,0.000000,0.000190,-1.686006,0.339942,-0.033714
2024-06-22 05:50:53.705,20.408,,0.318650,0.000191,0.000190,-1.682780,0.335002,-0.033720
2024-06-22 05:50:53.805,20.508,,0.313910,0.000000,0.000190,-1.677057,0.329964,-0.033656
2024-06-22 05:50:53.905,20.608,,0.309170,0.000000,0.000381,-1.667918,0.324946,-0.033541
2024-06-22 05:50:54.005,20.708,,0.309170,0.000381,0.000190,-1.656966,0.319971,-0.033358
2024-06-22 05:50:54.105,20.808,,0.304430,0.000191,0.000190,-1.643689,0.315001,-0.033139
2024-06-22 05:50:54.205,20.908,,0.299680,-0.000191,0.000381,-1.628719,0.309932,-0.032874
2024-06-22 05:50:54.306,21.009,,0.293990,0.000000,0.000190,-1.613024,0.305028,-0.032574
2024-06-22 05:50:54.405,21.108,,0.289250,-0.000191,0.000381,-1.596462,0.299997,-0.032260
2024-06-22 05:50:54.505,21.208,,0.284510,0.000000,0.000190,-1.580037,0.295041,-0.031929
2024-06-22 05:50:54.605,21.308,,0.278820,0.000000,0.000381,-1.565910,0.290001,-0.031601
2024-06-22 05:50:54.705,21.408,,0.274080,-0.000191,0.000381,-1.552125,0.284981,-0.031318
2024-06-22 05:50:54.805,21.508,,0.269340,-0.000191,0.000381,-1.540788,0.280001,-0.031042
2024-06-22 05:50:54.905,21.608,,0.264590,0.000000,0.000000,-1.532470,0.275051,-0.030816
2024-06-22 05:50:55.005,21.708,,0.259850,0.000191,0.000381,-1.527502,0.269928,-0.030649
2024-06-22 05:50:55.105,21.808,,0.249420,-0.000191,0.000381,-1.525894,0.265029,-0.030550
2024-06-22 05:50:55.205,21.908,,0.244680,0.000000,0.000000,-1.527117,0.259998,-0.030518
2024-06-22 05:50:55.305,22.008,,0.244680,-0.000191,0.000381,-1.531004,0.255033,-0.030620
2024-06-22 05:50:55.406,22.109,,0.239940,0.000000,0.000000,-1.536085,0.249942,-0.030620
2024-06-22 05:50:55.505,22.208,,0.234250,-0.000381,0.000190,-1.542229,0.244911,-0.030722
2024-06-22 05:50:55.605,22.308,,0.229510,-0.000191,0.000000,-1.548511,0.239965,-0.030970
2024-06-22 05:50:55.706,22.409,,0.219070,0.000000,0.000190,-1.554302,0.235002,-0.030970
2024-06-22 05:50:55.805,22.508,,0.214330,-0.000191,0.000381,-1.557347,0.229957,-0.031086
2024-06-22 05:50:55.905,22.608,,0.209590,-0.000191,0.000381,-1.557943,0.225008,-0.031147
2024-06-22 05:50:56.005,22.708,,0.204850,0.000000,0.000190,-1.556128,0.219982,-0.031159
2024-06-22 05:50:56.105,22.808,,0.199160,-0.000191,0.000190,-1.551293,0.215019,-0.031123
2024-06-22 05:50:56.205,22.908,,0.194420,0.000000,0.000190,-1.544439,0.209975,-0.031026
2024-06-22 05:50:56.305,23.008,,0.189670,-0.000191,0.000190,-1.536895,0.204965,-0.030738
2024-06-22 05:50:56.405,23.108,,0.183980,-0.000191,0.000381,-1.528630,0.199975,-0.030738
2024-06-22 05:50:56.505,23.208,,0.179240,-0.000191,0.000190,-1.520798,0.195028,-0.030573
2024-06-22 05:50:56.605,23.308,,0.174500,-0.000191,0.000381,-1.514309,0.189987,-0.030286
2024-06-22 05:50:56.705,23.408,,0.168810,-0.000191,0.000190,-1.509072,0.185007,-0.030286
2024-06-22 05:50:56.805,23.508,,0.164070,-0.000381,0.000190,-1.505761,0.179958,-0.030181
2024-06-22 05:50:56.905,23.608,,0.159330,-0.000191,0.000381,-1.503314,0.175069,-0.030066
2024-06-22 05:50:57.005,23.708,,0.154580,-0.000381,0.000000,-1.503199,0.169982,-0.030066
2024-06-22 05:50:57.105,23.808,,0.148890,-0.000191,0.000190,-1.503742,0.165014,-0.030064
2024-06-22 05:50:57.205,23.908,,0.147000,-0.000191,0.000381,-1.504683,0.159996,-0.030094
2024-06-22 05:50:57.305,24.008,,0.145100,0.000000,0.000381,-1.506441,0.155022,-0.030094
2024-06-22 05:50:57.405,24.108,,0.139410,-0.000191,0.000381,-1.507161,0.149924,-0.030129
2024-06-22 05:50:57.505,24.208,,0.134670,-0.000381,0.000000,-1.507002,0.144987,-0.030143
2024-06-22 05:50:57.605,24.308,,0.129930,-0.000191,0.000000,-1.505370,0.139963,-0.030140
2024-06-22 05:50:57.705,24.408,,0.124240,-0.000191,0.000190,-1.503057,0.134998,-0.030061
2024-06-22 05:50:57.805,24.508,,0.119490,-0.000191,0.000190,-1.498939,0.129943,-0.030061
2024-06-22 05:50:57.905,24.608,,0.114750,-0.000191,0.000190,-1.493298,0.124960,-0.029979
2024-06-22 05:50:58.005,24.708,,0.110010,-0.000381,0.000000,-1.485868,0.119967,-0.029717
2024-06-22 05:50:58.105,24.808,,0.104320,-0.000191,0.000000,-1.478267,0.115013,-0.029717
2024-06-22 05:50:58.205,24.908,,0.099580,-0.000191,0.000381,-1.470104,0.109971,-0.029565
2024-06-22 05:50:58.305,25.008,,0.093890,-0.000381,0.000190,-1.463625,0.104999,-0.029402
2024-06-22 05:50:58.406,25.109,,0.089150,-0.000191,0.000381,-1.458334,0.100015,-0.029273
2024-06-22 05:50:58.505,25.208,,0.084400,-0.000191,0.000381,-1.453522,0.095077,-0.029070
2024-06-22 05:50:58.605,25.308,,0.079660,-0.000191,0.000381,-1.450927,0.089946,-0.029070
2024-06-22 05:50:58.705,25.408,,0.073970,0.000000,0.000190,-1.449450,0.085038,-0.029019
2024-06-22 05:50:58.805,25.508,,0.064490,-0.000191,0.000381,-1.451073,0.080018,-0.028989
2024-06-22 05:50:58.905,25.608,,0.059750,-0.000191,0.000000,-1.453468,0.075082,-0.029021
2024-06-22 05:50:59.005,25.708,,0.055010,-0.000191,0.000381,-1.455726,0.070025,-0.029115
2024-06-22 05:50:59.106,25.809,,0.049320,-0.000191,0.000381,-1.459779,0.065047,-0.029115
2024-06-22 05:50:59.205,25.908,,0.044570,-0.000191,0.000000,-1.464318,0.060057,-0.029196
