Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,CYCLE 3 ~ AN 6BAR 80C, CA 28.5BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-22 05:50:33,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-22 05:50:33.305,0.008,,1.338150,-0.000191,0.000000,1.639062,1.349874,0.032781
2024-06-22 05:50:33.405,0.108,,1.333410,-0.000191,0.000381,1.629065,1.349749,0.032781
2024-06-22 05:50:33.505,0.208,,1.328660,-0.000191,0.000000,1.045390,1.344704,0.032581
2024-06-22 05:50:33.605,0.308,,1.322970,0.000000,0.000381,0.915385,1.339784,0.018308
2024-06-22 05:50:33.705,0.408,,1.318230,0.000000,0.000381,0.854573,1.334733,0.018308
2024-06-22 05:50:33.805,0.508,,1.313490,-0.000191,0.000000,0.816820,1.329771,0.017091
2024-06-22 05:50:33.905,0.608,,1.307800,-0.000191,0.000190,0.789222,1.324769,0.016336
2024-06-22 05:50:34.005,0.708,,1.303060,-0.000381,0.000190,0.768033,1.319820,0.015784
2024-06-22 05:50:34.105,0.808,,1.298320,0.000000,0.000190,0.750539,1.314789,0.015361
2024-06-22 05:50:34.205,0.908,,1.293580,0.000000,0.000381,0.738523,1.309836,0.015011
2024-06-22 05:50:34.305,1.008,,1.287880,-0.000191,0.000381,0.726436,1.304838,0.014529
2024-06-22 05:50:34.405,1.108,,1.283140,0.000000,0.000190,0.716485,1.299881,0.014529
2024-06-22 05:50:34.505,1.208,,1.277450,0.000000,0.000381,0.707257,1.294797,0.014145
2024-06-22 05:50:34.605,1.308,,1.273660,-0.000191,0.000381,0.699579,1.289837,0.014145
2024-06-22 05:50:34.705,1.408,,1.272710,-0.000191,0.000190,0.692264,1.284824,0.013992
2024-06-22 05:50:34.805,1.508,,1.267970,0.000000,0.000381,0.685386,1.279838,0.013708
2024-06-22 05:50:34.905,1.608,,1.263230,-0.000191,0.000381,0.678886,1.274751,0.013708
2024-06-22 05:50:35.005,1.708,,1.258490,-0.000381,0.000000,0.672540,1.269815,0.013451
