Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,CYCLE 2 ~ AN 4BAR 80C, CA 28.5BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-22 02:52:29,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-22 02:52:34.205,4.406,,1.118130,-0.000191,0.000381,0.324669,1.134817,0.006433
2024-06-22 02:52:34.305,4.506,,1.113380,-0.000381,0.000381,0.327218,1.129797,0.006493
2024-06-22 02:52:34.405,4.606,,1.107690,-0.000191,0.000381,0.329952,1.124842,0.006544
2024-06-22 02:52:34.505,4.706,,1.102950,-0.000191,0.000762,0.333280,1.119876,0.006599
2024-06-22 02:52:34.606,4.807,,1.098210,-0.000191,0.000000,0.336516,1.114777,0.006666
2024-06-22 02:52:34.705,4.906,,1.093470,-0.000381,-0.000381,0.340532,1.109877,0.006730
2024-06-22 02:52:34.805,5.006,,1.088730,-0.000381,0.000381,0.340525,1.104817,0.006811
2024-06-22 02:52:34.905,5.106,,1.083040,-0.000381,0.000000,0.347279,1.099886,0.006811
2024-06-22 02:52:35.005,5.206,,1.078300,-0.000381,0.000000,0.352424,1.094843,0.006946
2024-06-22 02:52:35.105,5.306,,1.073550,-0.000191,0.000381,0.355788,1.089795,0.007048
2024-06-22 02:52:35.205,5.406,,1.068810,-0.000763,0.000571,0.359494,1.084852,0.007116
2024-06-22 02:52:35.305,5.506,,1.063120,-0.000572,0.000000,0.364061,1.079876,0.007190
2024-06-22 02:52:35.405,5.606,,1.058380,-0.000572,0.000190,0.367477,1.074777,0.007281
2024-06-22 02:52:35.505,5.706,,1.053640,-0.000572,0.000381,0.372430,1.069838,0.007350
2024-06-22 02:52:35.605,5.806,,1.047950,-0.000572,0.000190,0.375953,1.064791,0.007449
2024-06-22 02:52:35.705,5.906,,1.043210,-0.000572,-0.000190,0.379420,1.059844,0.007519
2024-06-22 02:52:35.805,6.006,,1.039410,-0.000572,0.000381,0.382812,1.054808,0.007588
2024-06-22 02:52:35.905,6.106,,1.038460,-0.000381,-0.000190,0.384887,1.049808,0.007656
2024-06-22 02:52:36.005,6.206,,1.033720,-0.000763,0.000190,0.388079,1.044835,0.007698
2024-06-22 02:52:36.105,6.306,,1.028030,-0.000763,0.000381,0.390029,1.039865,0.007762
2024-06-22 02:52:36.205,6.406,,1.023290,-0.000572,0.000190,0.390477,1.034820,0.007801
2024-06-22 02:52:36.305,6.506,,1.018550,-0.000572,0.000000,0.392725,1.029844,0.007810
2024-06-22 02:52:36.405,6.606,,1.012860,-0.000572,0.000190,0.392004,1.024797,0.007855
2024-06-22 02:52:36.505,6.706,,1.008120,-0.000572,0.000381,0.392542,1.019878,0.007840
2024-06-22 02:52:36.605,6.806,,1.003370,-0.000572,0.000381,0.391884,1.014799,0.007851
2024-06-22 02:52:36.705,6.906,,0.998630,-0.000572,0.000190,0.390214,1.009838,0.007838
2024-06-22 02:52:36.805,7.006,,0.993890,-0.000763,0.000571,0.388372,1.004822,0.007804
2024-06-22 02:52:36.905,7.106,,0.989150,-0.000763,0.000000,0.386120,0.999847,0.007767
2024-06-22 02:52:37.005,7.206,,0.983460,-0.000572,0.000190,0.382224,0.994820,0.007722
2024-06-22 02:52:37.105,7.306,,0.978720,-0.000381,0.000190,0.379816,0.989864,0.007644
2024-06-22 02:52:37.205,7.406,,0.973030,-0.000572,0.000571,0.375139,0.984850,0.007596
2024-06-22 02:52:37.305,7.506,,0.968280,-0.000572,0.000381,0.371547,0.979873,0.007503
2024-06-22 02:52:37.406,7.607,,0.963540,-0.000572,0.000190,0.366441,0.974844,0.007431
2024-06-22 02:52:37.505,7.706,,0.958800,-0.000572,0.000381,0.360992,0.969780,0.007329
2024-06-22 02:52:37.605,7.806,,0.953110,-0.000381,0.000190,0.355852,0.964779,0.007220
2024-06-22 02:52:37.705,7.906,,0.948370,-0.000572,0.000190,0.349994,0.959839,0.007117
2024-06-22 02:52:37.805,8.006,,0.938890,-0.000763,0.000190,0.343723,0.954793,0.007000
2024-06-22 02:52:37.905,8.106,,0.934140,-0.000572,0.000190,0.338118,0.949832,0.006874
2024-06-22 02:52:38.005,8.206,,0.928450,-0.000572,0.000571,0.331252,0.944833,0.006762
2024-06-22 02:52:38.105,8.306,,0.923710,-0.000572,0.000190,0.326104,0.939885,0.006625
2024-06-22 02:52:38.205,8.406,,0.918970,-0.000763,0.000190,0.318668,0.934763,0.006522
2024-06-22 02:52:38.305,8.506,,0.913280,-0.000572,0.000381,0.313189,0.929832,0.006373
2024-06-22 02:52:38.405,8.606,,0.908540,-0.000763,0.000190,0.305510,0.924810,0.006264
2024-06-22 02:52:38.505,8.706,,0.903800,-0.000763,0.000381,0.299446,0.919893,0.006110
2024-06-22 02:52:38.605,8.806,,0.899050,-0.000763,0.000381,0.293126,0.914840,0.005989
2024-06-22 02:52:38.705,8.906,,0.893360,-0.000572,0.000190,0.286964,0.909874,0.005863
2024-06-22 02:52:38.805,9.006,,0.888620,-0.000763,0.000000,0.281216,0.904875,0.005739
2024-06-22 02:52:38.905,9.106,,0.883880,-0.000763,0.000381,0.277814,0.899897,0.005624
2024-06-22 02:52:39.005,9.206,,0.878190,-0.000572,0.000190,0.270656,0.894936,0.005556
2024-06-22 02:52:39.105,9.306,,0.878190,-0.000572,0.000381,0.266658,0.889866,0.005413
2024-06-22 02:52:39.205,9.406,,0.873450,-0.000381,0.000190,0.262158,0.884859,0.005333
2024-06-22 02:52:39.305,9.506,,0.868710,-0.000572,0.000190,0.257640,0.879907,0.005243
