Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,AN 0BAR, CA 0BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-20 08:19:20,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-20 08:19:24.405,4.300,,1.148470,0.000000,0.000190,-2.822903,1.164935,-0.055683
2024-06-20 08:19:24.505,4.400,,1.143730,0.000000,0.000190,-2.787724,1.159933,-0.056458
2024-06-20 08:19:24.605,4.500,,1.138990,0.000191,0.000190,-2.855550,1.154940,-0.057111
2024-06-20 08:19:24.705,4.600,,1.134250,0.000191,0.000000,-2.946031,1.144995,-0.057111
2024-06-20 08:19:24.805,4.700,,1.128560,0.000191,0.000190,-2.946031,1.144995,-0.058921
2024-06-20 08:19:24.905,4.800,,1.123820,0.000381,0.000000,-2.936171,1.139914,-0.058723
2024-06-20 08:19:25.005,4.900,,1.119080,0.000191,0.000190,-2.991622,1.129941,-0.058723
2024-06-20 08:19:25.105,5.000,,1.113380,0.000000,0.000190,-2.991622,1.129941,-0.059832
2024-06-20 08:19:25.205,5.100,,1.109590,0.000000,0.000190,-3.055331,1.124971,-0.061107
2024-06-20 08:19:25.305,5.200,,1.103900,0.000000,0.000381,-3.124064,1.115023,-0.061107
2024-06-20 08:19:25.405,5.300,,1.099160,0.000191,0.000190,-3.124064,1.115023,-0.062481
2024-06-20 08:19:25.505,5.400,,1.093470,0.000191,0.000190,-3.195879,1.110005,-0.062481
2024-06-20 08:19:25.605,5.500,,1.088730,0.000000,0.000571,-3.293866,1.105020,-0.063918
2024-06-20 08:19:25.705,5.600,,1.083990,0.000191,0.000190,-3.289423,1.100012,-0.065788
