2024-06-22 13:07:00.005,25803.218,,1.590410,24.971810,0.499436,80.000000,79.998672,77.868866,0.000000,25.454311,34.145378,6.000000,5.987778,5.939532,28.500000,28.506844,28.477019,0.500000,0.499527,0.000000,0.000000,0.658896,1.170581,0.748668,2.852260,1.000000
2024-06-22 13:07:30.005,25833.218,,1.590410,25.025190,0.499436,80.000000,79.974251,77.761803,0.000000,25.467592,34.145378,6.000000,6.004623,5.931105,28.500000,28.506844,28.451780,0.500000,0.507584,0.000000,0.000000,0.658896,1.170581,0.748668,2.849818,1.000000
2024-06-22 13:08:00.005,25863.218,,1.589470,25.019850,0.499436,80.000000,80.012817,77.879562,0.000000,25.465122,34.202160,6.000000,5.987778,5.914251,28.500000,28.481560,28.451780,0.500000,0.499527,0.000000,0.000000,0.658896,1.180328,0.750230,2.842494,1.000000
2024-06-22 13:08:30.005,25893.218,,1.589470,24.971810,0.499436,80.000000,80.041191,77.935631,0.000000,25.528856,34.166817,6.000000,5.987778,5.931105,28.500000,28.506844,28.477019,0.500000,0.499527,0.000000,0.000000,0.629657,1.165708,0.750230,2.842494,1.000000
2024-06-22 13:09:00.005,25923.218,,1.590410,24.971810,0.500397,80.000000,80.035706,77.959427,0.000000,25.528856,34.047173,6.000000,5.987778,5.931105,28.500000,28.506844,28.477019,0.500000,0.499527,0.000000,0.000000,0.639403,1.180328,0.750230,2.837611,1.000000
2024-06-22 13:09:30.005,25953.218,,1.589470,25.025190,0.500504,80.000000,80.030220,77.888046,0.000000,25.542139,34.206699,6.000000,6.004623,5.914251,28.500000,28.506844,28.451780,0.500000,0.499527,0.000000,0.000000,0.658896,1.170581,0.750230,2.830287,1.000000
2024-06-22 13:10:00.005,25983.218,,1.589470,24.971810,0.499436,80.000000,80.004066,77.843880,0.000000,25.478403,34.042633,6.000000,5.979355,5.888970,28.500000,28.489988,28.443366,0.500000,0.499527,0.000000,0.000000,0.658896,1.165708,0.751793,2.827845,1.000000
2024-06-22 13:10:30.005,26013.218,,1.590410,25.019850,0.500397,80.000000,79.945107,77.899948,0.000000,25.542139,34.126934,6.000000,6.004623,5.914251,28.500000,28.489988,28.443366,0.500000,0.499527,0.000000,0.000000,0.658896,1.165708,0.756481,2.827845,1.000000
2024-06-22 13:11:00.005,26043.218,,1.590410,25.019850,0.500397,80.000000,79.945107,77.828568,0.000000,25.542139,34.126934,6.000000,5.987778,5.914251,28.500000,28.481560,28.451780,0.500000,0.499527,0.000000,0.000000,0.624783,1.170581,0.761168,2.820521,1.000000
2024-06-22 13:11:30.005,26073.218,,1.590410,24.971810,0.499436,80.000000,80.006149,77.864258,0.000000,25.542139,33.914230,6.000000,6.004623,5.931105,28.500000,28.515272,28.468606,0.500000,0.499527,0.000000,0.000000,0.639403,1.180328,0.761168,2.813196,1.000000
2024-06-22 13:12:00.005,26103.218,,1.589470,25.025190,0.500397,80.000000,79.969528,77.792885,0.000000,25.542139,34.087055,6.000000,5.987778,5.931105,28.500000,28.506844,28.451780,0.500000,0.499527,0.000000,0.000000,0.629657,1.170581,0.761168,2.813196,1.000000
2024-06-22 13:12:30.005,26133.218,,1.590410,24.971810,0.500504,80.000000,79.823021,77.721214,0.000000,25.542139,34.033878,6.000000,5.979355,5.905824,28.500000,28.506844,28.477019,0.500000,0.496841,0.000000,0.000000,0.629657,1.180328,0.762731,2.810755,1.000000
2024-06-22 13:13:00.005,26163.218,,1.590410,25.019850,0.500504,80.000000,79.755157,77.622711,0.000000,25.552950,33.997604,6.000000,5.987778,5.905824,28.500000,28.515272,28.451780,0.500000,0.499527,0.000000,0.000000,0.629657,1.170581,0.765856,2.803430,1.000000
2024-06-22 13:13:30.005,26193.218,,1.591360,25.019850,0.500504,80.000000,79.730743,77.671349,0.000000,25.552950,34.050777,6.000000,5.962511,5.931105,28.500000,28.481560,28.477019,0.500000,0.499527,0.000000,0.000000,0.658896,1.180328,0.762731,2.796106,1.000000
2024-06-22 13:14:00.005,26223.218,,1.591360,25.025190,0.500397,80.000000,79.767372,77.647034,0.000000,25.552950,34.050777,6.000000,5.979355,5.905824,28.500000,28.481560,28.443366,0.500000,0.499527,0.000000,0.000000,0.658896,1.180328,0.762731,2.793664,1.000000
2024-06-22 13:14:30.005,26253.218,,1.591360,24.971810,0.499436,80.000000,79.767372,77.647034,0.000000,25.566231,34.050777,6.000000,6.004623,5.931105,28.500000,28.481560,28.451780,0.500000,0.507584,0.000000,0.000000,0.629657,1.180328,0.765856,2.791223,1.000000
2024-06-22 13:15:00.005,26283.218,,1.591360,25.019850,0.500397,80.000000,79.818291,77.692184,0.000000,25.616684,34.188255,6.000000,5.987778,5.914251,28.500000,28.515272,28.451780,0.500000,0.499527,0.000000,0.000000,0.658896,1.165708,0.762731,2.786340,1.000000
2024-06-22 13:15:30.005,26313.218,,1.590410,24.971810,0.499436,80.000000,79.940376,77.776382,0.000000,25.629967,34.294605,6.000000,6.004623,5.931105,28.500000,28.506844,28.468606,0.500000,0.499527,0.000000,0.000000,0.658896,1.170581,0.762731,2.781457,1.000000
2024-06-22 13:16:00.005,26343.218,,1.590410,24.971810,0.500397,80.000000,79.903748,77.812065,0.000000,25.629967,34.201550,6.000000,6.004623,5.905824,28.500000,28.481560,28.477019,0.500000,0.499527,0.000000,0.000000,0.658896,1.170581,0.762731,2.776574,1.000000
2024-06-22 13:16:30.005,26373.218,,1.590410,24.971810,0.500397,80.000000,79.989212,77.871544,0.000000,25.643248,34.174961,6.000000,5.987778,5.931105,28.500000,28.506844,28.477019,0.500000,0.499527,0.000000,0.000000,0.658896,1.170581,0.762731,2.774133,1.000000
2024-06-22 13:17:00.005,26403.218,,1.591360,25.019850,0.500397,80.000000,79.964798,77.800171,0.000000,25.643248,34.214844,6.000000,5.979355,5.931105,28.500000,28.506844,28.477019,0.500000,0.499527,0.000000,0.000000,0.629657,1.165708,0.762731,2.771691,1.000000
2024-06-22 13:17:30.005,26433.218,,1.590410,24.971810,0.499436,80.000000,80.019547,77.858452,0.000000,25.654058,34.165276,6.000000,6.004623,5.931105,28.500000,28.506844,28.451780,0.500000,0.499527,0.000000,0.000000,0.658896,1.185201,0.767418,2.766808,1.000000
2024-06-22 13:18:00.005,26463.218,,1.589470,24.971810,0.499436,80.000000,80.025032,77.846558,0.000000,25.667341,34.112099,6.000000,6.021467,5.931105,28.500000,28.481560,28.451780,0.500000,0.499527,0.000000,0.000000,0.658896,1.170581,0.765856,2.761925,1.000000
2024-06-22 13:18:30.005,26493.218,,1.590410,25.025190,0.500504,80.000000,80.017120,77.835861,0.000000,25.656530,34.108490,6.000000,6.021467,5.931105,28.500000,28.481560,28.443366,0.500000,0.499527,0.000000,0.000000,0.658896,1.185201,0.765856,2.757042,1.000000
2024-06-22 13:19:00.005,26523.218,,1.589470,25.019850,0.500397,80.000000,80.011635,77.871544,0.000000,25.656530,34.015434,6.000000,6.013045,5.931105,28.500000,28.523699,28.477019,0.500000,0.499527,0.000000,0.000000,0.629657,1.180328,0.765856,2.757042,1.000000
