Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,CYCLE 3 ~ AN 6BAR 80C, CA 28.5BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-24 19:20:34,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-24 19:20:39.005,4.209,,1.148470,-0.000381,-0.000190,-0.918248,1.164861,-0.018365
2024-06-24 19:20:39.105,4.309,,1.143730,-0.000572,0.000190,-0.911715,1.159885,-0.018234
2024-06-24 19:20:39.205,4.409,,1.138040,-0.000381,0.000190,-0.908313,1.149884,-0.018234
2024-06-24 19:20:39.305,4.509,,1.133300,-0.000381,0.000190,-0.908313,1.149884,-0.018166
2024-06-24 19:20:39.405,4.609,,1.128560,-0.000381,0.000190,-0.910045,1.144913,-0.018201
2024-06-24 19:20:39.505,4.709,,1.118130,-0.000381,-0.000190,-0.926589,1.134897,-0.018201
2024-06-24 19:20:39.605,4.809,,1.113380,-0.000381,0.000381,-0.926589,1.134897,-0.018532
2024-06-24 19:20:39.705,4.909,,1.108640,-0.000381,0.000000,-0.933165,1.129868,-0.018663
2024-06-24 19:20:39.805,5.009,,1.103900,-0.000381,0.000190,-0.913057,1.119913,-0.018663
2024-06-24 19:20:39.905,5.109,,1.102950,-0.000572,0.000571,-0.913057,1.119913,-0.018261
2024-06-24 19:20:40.005,5.209,,1.098210,-0.000763,0.000381,-0.908013,1.114889,-0.018261
2024-06-24 19:20:40.105,5.309,,1.093470,-0.000381,0.000190,-0.914724,1.104911,-0.018160
2024-06-24 19:20:40.205,5.409,,1.088730,-0.000572,0.000381,-0.914724,1.104911,-0.018294
2024-06-24 19:20:40.305,5.509,,1.083040,-0.000572,0.000190,-0.922942,1.099925,-0.018294
2024-06-24 19:20:40.405,5.609,,1.078300,-0.000381,0.000000,-0.910141,1.089856,-0.018459
2024-06-24 19:20:40.505,5.709,,1.073550,-0.000572,0.000190,-0.910141,1.089856,-0.018203
2024-06-24 19:20:40.605,5.809,,1.068810,-0.000381,0.000190,-0.908215,1.084912,-0.018164
2024-06-24 19:20:40.705,5.909,,1.064070,-0.000191,0.000190,-0.936202,1.079913,-0.018164
2024-06-24 19:20:40.805,6.009,,1.058380,-0.000572,0.000190,-0.899747,1.074864,-0.017995
2024-06-24 19:20:40.905,6.109,,1.053640,-0.000381,0.000190,-0.907340,1.064888,-0.017995
2024-06-24 19:20:41.005,6.209,,1.047950,-0.000191,0.000381,-0.907340,1.064888,-0.018147
2024-06-24 19:20:41.105,6.309,,1.043210,-0.000381,0.000381,-0.896015,1.059891,-0.017920
2024-06-24 19:20:41.205,6.409,,1.038460,-0.000191,-0.000381,-0.904235,1.049867,-0.017920
2024-06-24 19:20:41.305,6.509,,1.033720,-0.000191,0.000190,-0.904235,1.049867,-0.018085
2024-06-24 19:20:41.405,6.609,,1.028030,-0.000191,0.000000,-0.886758,1.044897,-0.017735
2024-06-24 19:20:41.505,6.709,,1.023290,-0.000381,0.000190,-0.910165,1.034890,-0.017735
2024-06-24 19:20:41.605,6.809,,1.018550,-0.000381,0.000190,-0.910165,1.034890,-0.018203
2024-06-24 19:20:41.705,6.909,,1.012860,-0.000381,0.000381,-0.904924,1.029889,-0.018098
2024-06-24 19:20:41.805,7.009,,1.009060,-0.000381,0.000000,-0.884501,1.019911,-0.018098
2024-06-24 19:20:41.905,7.109,,1.003370,-0.000191,0.000190,-0.884501,1.019911,-0.017690
2024-06-24 19:20:42.005,7.209,,0.998630,-0.000191,0.000190,-0.908393,1.014910,-0.018168
2024-06-24 19:20:42.105,7.309,,0.993890,-0.000191,-0.000190,-0.916372,1.004884,-0.018168
2024-06-24 19:20:42.205,7.409,,0.988200,-0.000191,0.000190,-0.916372,1.004884,-0.018327
2024-06-24 19:20:42.305,7.509,,0.983460,-0.000191,0.000190,-0.882061,0.999889,-0.017641
2024-06-24 19:20:42.405,7.609,,0.978720,-0.000191,0.000190,-0.895371,0.989897,-0.017641
2024-06-24 19:20:42.505,7.709,,0.973970,-0.000381,0.000000,-0.895371,0.989897,-0.017907
2024-06-24 19:20:42.605,7.809,,0.963540,-0.000381,0.000190,-0.908084,0.979912,-0.017903
2024-06-24 19:20:42.705,7.909,,0.958800,-0.000381,0.000190,-0.908084,0.979912,-0.018162
2024-06-24 19:20:42.805,8.009,,0.958800,-0.000381,0.000381,-0.908841,0.974936,-0.018177
2024-06-24 19:20:42.905,8.109,,0.953110,-0.000191,0.000000,-0.896321,0.964853,-0.017980
2024-06-24 19:20:43.005,8.209,,0.948370,-0.000381,0.000000,-0.896321,0.964853,-0.017926
2024-06-24 19:20:43.105,8.309,,0.943630,-0.000381,0.000190,-0.898748,0.959890,-0.017975
2024-06-24 19:20:43.205,8.409,,0.938890,-0.000381,0.000190,-0.902629,0.949876,-0.017975
2024-06-24 19:20:43.305,8.509,,0.933190,-0.000381,0.000000,-0.902629,0.949876,-0.018053
2024-06-24 19:20:43.405,8.609,,0.928450,-0.000381,0.000000,-0.895331,0.944916,-0.017907
2024-06-24 19:20:43.505,8.709,,0.923710,-0.000381,0.000190,-0.899238,0.934855,-0.017907
2024-06-24 19:20:43.605,8.809,,0.918970,-0.000381,0.000190,-0.899238,0.934855,-0.017985
2024-06-24 19:20:43.705,8.909,,0.913280,-0.000381,0.000000,-0.900202,0.929886,-0.018004
2024-06-24 19:20:43.805,9.009,,0.908540,-0.000191,0.000190,-0.918437,0.919928,-0.018004
2024-06-24 19:20:43.905,9.109,,0.902850,-0.000572,0.000190,-0.918437,0.919928,-0.018369
2024-06-24 19:20:44.005,9.209,,0.898110,-0.000572,0.000190,-0.910067,0.909899,-0.018138
2024-06-24 19:20:44.105,9.309,,0.893360,-0.000381,0.000190,-0.910067,0.909899,-0.018201
2024-06-24 19:20:44.205,9.409,,0.888620,-0.000381,0.000190,-0.916681,0.904954,-0.018334
2024-06-24 19:20:44.305,9.509,,0.883880,-0.000572,0.000381,-0.928420,0.895020,-0.018485
2024-06-24 19:20:44.405,9.609,,0.879140,-0.000572,0.000190,-0.928420,0.895020,-0.018568
2024-06-24 19:20:44.505,9.709,,0.873450,-0.000572,0.000190,-0.938943,0.889930,-0.018779
2024-06-24 19:20:44.605,9.809,,0.868710,-0.000381,0.000000,-0.938997,0.879955,-0.018357
2024-06-24 19:20:44.705,9.909,,0.863960,-0.000381,0.000000,-0.938997,0.879955,-0.018780
2024-06-24 19:20:44.805,10.009,,0.859220,-0.000572,0.000190,-0.942160,0.874984,-0.018843
2024-06-24 19:20:44.905,10.109,,0.853530,-0.000572,0.000000,-0.935268,0.864939,-0.018843
2024-06-24 19:20:45.005,10.209,,0.848790,-0.000381,0.000000,-0.935268,0.864939,-0.018705
2024-06-24 19:20:45.105,10.309,,0.844050,-0.000572,0.000190,-0.953124,0.859917,-0.019062
2024-06-24 19:20:45.205,10.409,,0.839310,-0.000572,0.000190,-0.946484,0.854939,-0.019062
2024-06-24 19:20:45.305,10.509,,0.833620,-0.000572,0.000381,-0.956870,0.849912,-0.019137
2024-06-24 19:20:45.405,10.609,,0.828870,-0.000572,0.000190,-0.952108,0.839955,-0.019152
2024-06-24 19:20:45.505,10.709,,0.824130,-0.000763,0.000190,-0.952108,0.839955,-0.019042
2024-06-24 19:20:45.605,10.809,,0.818440,-0.000572,0.000190,-0.974284,0.834974,-0.019486
2024-06-24 19:20:45.705,10.909,,0.813700,-0.000572,-0.000190,-0.945018,0.824948,-0.019476
2024-06-24 19:20:45.805,11.009,,0.808960,-0.000381,0.000190,-0.945018,0.824948,-0.018900
2024-06-24 19:20:45.905,11.109,,0.804220,-0.000572,0.000000,-0.981746,0.819912,-0.019635
2024-06-24 19:20:46.005,11.209,,0.798530,-0.000572,0.000190,-0.966351,0.809861,-0.019086
2024-06-24 19:20:46.105,11.309,,0.793780,-0.000572,0.000381,-0.966351,0.809861,-0.019327
2024-06-24 19:20:46.205,11.409,,0.783350,-0.000763,0.000190,-0.968225,0.804918,-0.019365
2024-06-24 19:20:46.305,11.509,,0.784300,-0.000763,-0.000190,-0.974623,0.794901,-0.019959
2024-06-24 19:20:46.405,11.609,,0.778610,-0.000572,0.000000,-0.974623,0.794901,-0.019492
2024-06-24 19:20:46.505,11.709,,0.773870,-0.000572,0.000381,-0.963841,0.789909,-0.019277
2024-06-24 19:20:46.605,11.809,,0.769130,-0.000572,0.000381,-0.978913,0.779936,-0.019704
2024-06-24 19:20:46.705,11.909,,0.764390,-0.000572,-0.000190,-0.978913,0.779936,-0.019578
2024-06-24 19:20:46.805,12.009,,0.758700,-0.000572,-0.000190,-0.971191,0.774951,-0.019424
2024-06-24 19:20:46.905,12.109,,0.753950,-0.000572,-0.000190,-0.984474,0.769904,-0.019689
2024-06-24 19:20:47.005,12.209,,0.748260,-0.000572,-0.000190,-0.978965,0.764879,-0.019579
2024-06-24 19:20:47.105,12.309,,0.743520,-0.000763,0.000000,-0.972032,0.754909,-0.019850
2024-06-24 19:20:47.205,12.409,,0.738780,-0.000381,0.000190,-0.972032,0.754909,-0.019441
2024-06-24 19:20:47.305,12.509,,0.734040,-0.000572,0.000190,-1.001657,0.749899,-0.020033
2024-06-24 19:20:47.405,12.609,,0.729300,-0.000763,0.000190,-0.978302,0.739918,-0.019608
2024-06-24 19:20:47.505,12.709,,0.723610,-0.000572,0.000000,-0.978302,0.739918,-0.019566
